"66",2021-04-01,9.1,-0.3,-0.9,7.1,3.2,10.1,0.6,7.9,2359654,168177,1768568,2590575,633034,5750680,780049,5089979,326382.1,29807,316448.3,473510,183520.4,116355,149460,662212,3022.11,2682.8,29319,44888,25091,9660,19819.4,5168.5,296238.1,31399,319490.3,444300,255159.5,95873,170900,614175,4.1,1.6,1.3,2.5,2.3,3.9,1.4,0.8,20062.2,15626,147362.8,198012,95892,47851,62808,34648.9,44,75.2,114.3,68.3,153.4,52.9,121.2,38.4,20825.7,15511,156705.9,200952,86730.1,57651,67655,34553.2,5.6,2.4,1.6,3.8,1.7,4.4,2.4,3.5,8.2,2.8,14.3,11.6,16.9,9.2,14,10,65.8,-0.1,-33.4,66.1,3.3,75.4,-76.1,17,-4.9,1.4,-2.6,-6.1,-2.9,-5.5,-5,-3.5,1.5,2.2,1.6,2.1,1,1.7,2,2.8,8.9,10.4,8.6,7.6,9.8,9.5,21.3,13.2,0.3,0.6,-0.6,1.7,-0.7,-2.2,0.1,-0.7,5,8.5,8.2,3.8,10.2,4.5,15.7,9.1
"67",2021-07-01,9.3,2.8,0.4,6.2,3.3,9.3,1.4,5.8,2439720,174669,1794260,2665280,655917,5785088,786494,5459708,310553.5,30387,318381.4,490030,176904.7,98364,150811,656019,3082.86,2682.4,29667.9,45215,25336.2,9768,20464.3,5374,296142.9,32033,334517.7,478936,272505.4,99876,175485,615243,2.4,1.1,2.8,0,2.5,1.9,2,0.4,18717.6,15485,142989.5,198781,94705.1,42645,60470,31093,43.3,74.6,115.3,68.1,150.8,51,119.4,36.6,19856.4,15216,154631.5,201726,82420.5,55620,59614,33795.5,2.6,-0.2,3.3,4.2,1.1,5.6,2.1,2.6,3.5,0.3,1,1.8,5.1,4.6,1.2,2.9,64.4,0.6,-31.8,66.9,5.2,64.2,-75.1,22.4,-1.3,5.9,1.6,2,0.2,-1.7,2.4,1.2,1.7,1.8,1.5,3.1,1,1.4,2.9,1.8,12.1,9.8,12.3,11.2,18.9,15.2,20.7,17.6,0.6,-0.3,1,4.3,0.1,-0.9,1.5,-0.4,4.2,7.6,7.9,3.5,9.1,4.1,15.2,8.7
"68",2021-10-01,9.4,-0.4,2.6,6.3,-0.2,8,1,5.6,2442104,180349,1837905,2735811,650557,5790208,785745,5973772,334804.6,29481,344031.5,544931,213974.2,110558,162262,655343,3118.47,2671.2,29712.7,45518,25359.6,9860,20430.6,5284.5,326917.3,33055,354858.9,496740,271219,98589,184149,652309,2.6,0.8,0.6,0.6,1.5,0.2,2,2.2,21555.8,16718,160601.1,207915,105253.6,47524,67555,39868,40.5,73.1,112.8,68.1,145.7,50.5,115.7,36.7,22301.8,16423,163124.5,221381,108572.7,60433,72504,38074.9,0.2,0.2,1.1,2.7,0.1,3.7,1.2,1.3,6.2,-0.6,1.6,1.1,5.9,4.3,3.3,3.6,65.7,2.3,-33.5,70.3,6.3,70.9,-69.4,21,-2.6,4.7,2.9,2.4,-0.5,-3.6,0.4,0.1,3.2,2.8,3.2,4.6,3.2,3.7,5.4,3.3,22.6,15.6,20.2,18.1,25.3,29.9,39.3,20.2,1.3,0.6,0.8,4.4,1.1,0.2,1.4,1.1,4.8,6.7,7.5,3.3,9.1,3.9,13.9,8.4
"69",2022-01-01,7.8,-3.6,-1.9,6,-2.1,10,-1.4,5.8,2515809,181808,1870712,2775509,673691,5771480,812842,6259903,330834,30475,332833,488285,177841.6,105636,154278,659553,3105.8,2664,29818.1,45284,25057.5,9911,20390.4,5242.3,297132.3,30627,345201,486201,272715.6,101964,188792,608449,-2.5,-0.7,-0.2,0.2,0.8,0.9,1.3,-1.2,19473.8,14146,147410.8,194138,104014.6,49741,66302,31098.8,37,73,114.4,66.7,146.6,48.7,114.6,35.2,20419.7,15285,157912.1,212862,88970.6,56790,63293,32995.4,1,1,0.8,0.4,1.6,4,2.6,2.6,1,-0.8,1.4,2.1,5,2.1,3.1,-1,63,6.4,-31.3,71.6,5.3,72.2,-65.4,31.1,0.7,3.2,3.7,3.2,0.5,0,1.2,1.9,4.9,4.1,3.3,5.1,5.1,7.6,6.2,3.9,36.6,24.1,20.5,20.6,39.1,58.4,32.8,23.8,4.3,2.4,1.8,4.9,3.9,4.3,4.8,2.1,4.9,7,7.3,3.2,8.6,3.6,13.3,8
"70",2022-04-01,12.2,-8.2,-1.1,2.4,-1.6,3.1,0.4,4.4,2559419,180656,1900727,2869087,680604,5975327,827026,6487257,349897.8,31757,341257.7,502359,198440.6,123420,164291,705874,3165.67,2788,30131.9,45605,25719.2,10060,20661.9,5377.5,311236.5,34269,350013.3,510915,286748,109119,192464,689684,-0.1,0.4,0.4,0,1.4,2.6,1.7,1.1,21514.7,16606,155509.8,216743,111666.6,53507,72077,37218.2,35.8,73.1,112.8,66.5,143.9,48.6,113,34,20903.1,15593,162212.7,212460,90404,60948,70391,35357.3,1.8,1.4,1.7,1.8,2.3,3.1,1.9,0.5,-2.6,-2.1,1.2,-0.7,3.8,1.5,2.9,-2.1,58,4.4,-27.4,73.8,3.8,66.5,-61.6,34.6,4.9,4,3.9,4.9,1,0.3,2.4,4.3,7.4,5.8,5.4,7.8,6.3,11.2,8.3,6.6,45.8,29.7,27.1,34.5,40,83.1,33.3,33.2,7.7,5.1,4.3,8.5,6.7,8.5,10.3,6.7,4,6.2,7.5,3,8.1,3.2,13.2,7.8
"71",2022-07-01,15.9,-0.3,-2.7,2.4,-2.7,3.7,0.8,3.2,2679116,189493,1936671,2942619,704809,6026392,843670,6867471,330289.8,32591,337593.5,513564,184578.8,106108,162145,697105,3182.87,2788.8,30277.3,45776,25647.8,10099,21123.2,5551,303976.4,34244,358649,534394,301235.8,112116,196590,671542,0.7,-0.2,0.5,0.6,0.3,0,0.9,0.2,20278.3,17030,152950.5,221708,103950.2,47394,69865,32796.9,34.6,72.4,113,65.7,139.9,46.7,112.2,34.4,20477,16242,162145.7,211274,85889.7,59588,63673,34627.4,0.3,-1.2,2.7,-0.8,-1.1,0.7,1.7,-3.1,-2.6,-3.6,-0.7,0.1,2.4,0.3,2.7,-0.9,65.5,0.5,-25.5,73.4,4.1,59.9,-56.7,37.6,5.7,6.7,4.9,3.2,0.7,4.8,1.9,3.6,9.6,8,6.8,8.5,8.4,11.6,10.7,8.3,43.3,34.8,28.9,35.6,43.4,68.4,40.9,27,15.6,12,7.3,14.5,10.3,12.3,13.9,14,4.7,7.1,7.3,3,8,3.6,12.7,7.3
"72",2022-10-01,10.4,2.1,0.9,4.5,-0.6,9.8,1.4,5.4,2613106,193361,1942660,2846252,716643,5934550,832773,6977781,354630.5,31316,365365.5,577445,222736.5,119605,175148,693775,3186.95,2730.4,30184.3,46035,25777,10204,20918.9,5430.4,333298.9,35365,379861.6,543583,305814,114248,196651,707198,-1.1,-1,0.1,-0.5,-0.1,-0.1,0.6,-0.8,25956,17858,172150.7,225664,115463.6,52780,72138,39709.3,34.1,74,111.3,65,138.3,48.4,109.5,33.6,22143.9,17198,171008.5,233219,111143.6,64572,78454,37786.1,-2.4,-3.5,-0.6,-5.3,-0.1,-2.1,-0.8,-3.6,-4.7,-3.8,-1.2,-1.5,0.5,0.3,1.8,-3.6,51.1,0.1,-24.8,70,4.2,53.4,-57.7,34.8,8.6,7.1,6,6.1,1.4,5.2,3.4,6.7,11.4,8.4,7.1,11.6,12.6,16.8,7.3,9.8,53.2,27.4,20,43.5,71.7,99.7,7.9,27.6,16.5,15.9,13.2,19.9,13.8,14,15.8,18,4.5,6.4,7.2,3.1,7.9,3.7,13,7.8
"73",2023-01-01,7.2,-0.1,-3,6,-1.7,9.9,2.9,7.3,2648505,192340,1938038,2855794,723649,5957184,847886,7093406,347141.7,32526,354043.4,520999,188674.6,113565,168322,707316,3161.11,2700.8,30226.1,45712,25716.4,10155,20860.5,5348.5,319486.8,33010,377095.2,528837,301507.6,115972,204836,649815,2,0.6,-0.1,0.1,0.6,-0.2,0.7,0.7,20128.9,14161,158912.8,213014,119723.9,54922,69912,31717.9,33.7,73.6,111.9,64.5,137.1,46.8,109,32.4,20541.1,16447,164355.5,217757,89971.6,61598,67437,34057.3,-4.2,-1.9,-0.9,-2.6,0,-1.5,0.7,-0.8,-0.2,-0.7,0,-0.4,-0.2,-0.6,2.2,-0.1,49.9,4.3,-28.6,69.7,3.8,48.6,-57.7,35.1,3.2,5.7,5.1,5.9,3.3,6,4,5,8.4,7.9,7,9.2,10.7,8.4,5.9,9.6,16.3,21.3,16.4,25.1,42.8,-0.2,-8.1,14.7,14.9,16.3,14.4,20.5,12.6,17.7,15.5,20.9,4.3,7.1,7.1,3,7.9,3.6,13.1,7.1
"74",2023-04-01,11.8,-5.3,-0.5,3.9,-0.2,8.9,2.4,6.7,2623877,189680,1944113,2867809,728986,5982005,864745,7496808,368263.2,34010,361385.2,538096,207231.1,133904,179164,748779,3209.97,2839.2,30472.1,45981,26063.6,10235,21262.3,5454,325378.4,35846,377951,547169,306144,118246,205939,718007,-0.1,0.1,0.7,-0.2,-0.3,-0.2,0.2,-0.4,21753.3,16489,162241.5,228723,120649.3,57407,75736,35019.7,34.4,74.8,111.4,63.6,137.7,45.5,108.8,31.2,21764.2,18107,169349.9,219089,91638.3,66267,76061,35374.9,0.4,0.9,-0.5,-1.3,1.9,-1.2,2.1,0.6,-0.1,-2.4,-0.3,-1.3,-1.2,-2,-0.6,-2.3,54.6,8.4,-28.4,67.8,4.8,48.9,-54.5,46.4,3.7,7.2,5.1,7.4,4.2,9.3,6.8,6.9,5.6,6.3,6.9,7.6,8.6,5.8,3.8,7.7,-4.1,5.2,7.1,9.4,16.4,-22.2,-15.4,-2,13,14.9,15.9,18,12.2,16,12.8,18.3,5,7,7.3,2.9,7.9,3.4,12.1,7.1
"75",2023-07-01,9.2,1.6,-1.2,5.7,1.3,8.4,3.1,7.2,2645753,196227,1958385,2899572,732502,5953010,876733,7520727,346816.7,33790,352488.2,550313,193497.9,114057,177404,746932,3219.87,2801.6,30570.1,46080,26117.1,10231,21834.3,5598.7,311585.2,35282,386728.5,561808,313762,118931,207465,696871,1.6,-1.5,0.1,0.2,0,-0.4,0.7,0.2,21282.1,16699,156231.8,228762,113750,49428,72295,30238.7,34.3,74.8,111.5,63.8,135.5,44.5,107.4,30.2,20916.8,16748,166908,222715,87682.6,65679,68421,33830.4,1.8,-2.9,0.4,-1.4,-0.1,1.1,2.5,-0.4,0.9,-2.7,-0.4,-1.4,-1.8,-2,-1.6,-1.5,48.3,10.4,-26.2,68.3,5.2,50.6,-51.7,43.5,2.6,5,3.9,7.8,4.7,8.5,7.4,7.8,3.2,4.2,5.1,6.5,6.3,5.3,2.1,6.3,-17.5,-4.5,-3.3,3.9,0.6,-21.4,-24.2,-13.7,6.2,8.6,13.2,11.3,11,11.7,10.8,11.3,5.4,7.4,7.4,3,7.8,3.6,12,7.1
"76",2023-10-01,11.1,1.8,0.6,6.7,0.9,12.1,2.2,6.8,2609465,191134,1944043,2942917,738748,5642147,873217,7302842,367082.4,32080,381015.8,614160,234116.3,128067,190717,739086,3218.53,2724,30426.3,46269,26259.8,10310,21639.7,5445.6,343040,36110,404977.5,567814,308176.7,118032,212210,725515,1.2,-0.3,0.5,-0.4,0.2,0.2,0.7,-0.6,21797.5,16378,174405.8,229381,125809.7,52787,77375,38419.2,33.6,77.3,110,62.9,134.8,45.2,105.1,31.4,22190.7,18851,178030.6,245590,113391.4,70547,82402,38530.6,1.6,-1,-2.7,-2,0,1.7,-1,-2.3,3.9,-1.2,0.3,-0.9,-1.5,-1.5,-1.2,-1,51.3,12.8,-28.1,70.1,7.2,52.9,-51.3,38.5,-1.5,3.4,3.2,6.7,4.5,7.7,6.6,7.2,-0.4,2.4,4.5,3,1.8,-1,3.5,4,-27.6,-9.5,4.9,-6,-19.9,-40.2,-10.1,-18.4,3.5,4,7.8,6.5,6.7,7.9,9.3,7,6.2,7.5,7.5,3.1,7.8,3.6,12,8
"77",2024-01-01,8.5,-1.5,-0.9,7.8,0.1,9.7,3.2,6.9,2710232,189895,1953077,2981386,750813,5743123,898702,7597019,365905.7,32897,368732.4,554713,197319.7,122176,182663,745480,3188.2,2698.2,30445.5,45876,26108.6,10280,21459.7,5348.4,325190.4,34122,396521.1,548257,305087.2,120577,218646,676667,-0.1,0.5,0.1,0.2,0.3,-0.2,1,0.7,19479.1,14191,159016.5,210900,120325.3,55234,73335,31705.8,33.8,78.1,110.8,62.6,135.2,44,106.3,30.9,21085.2,17113,171929.6,230948,93388.7,68031,71054,36004.3,-2.6,-1.3,-2.2,-0.6,-0.2,2,2.7,0.5,1.4,-1.7,0.6,-1.1,-1.2,-1.7,-0.1,-0.3,42,19.7,-28.5,73.7,8.7,45.5,-49,50.9,2.9,2,2.8,7.1,4.1,8.4,5.5,5.6,0.9,1.1,3.4,3.1,0.9,3.1,3.5,3.4,-11.6,-13.3,1.9,-3,-20.7,-2.5,-2.4,-10.1,1.8,1.4,5.7,4.4,6,2.1,7.5,3.6,5.9,7.7,7.6,3.2,7.1,3.6,11.9,7.9
"78",2024-04-01,13.9,-2.3,-0.2,5.7,1.2,7.7,3.2,10.2,2729223,189522,1969723,3022070,751548,5676249,911924,7519053,389128.9,33886,376771.8,569904,218739.5,143284,192521,788350,3238.14,2801.7,30667,46086,26517.2,10352,21650.4,5440.6,333709.2,36196,388673.3,562202,308351.2,122080,219879,738483,1.4,0.1,0.3,-0.3,0.1,1,0.8,0.2,21895,14551,162121.8,228461,122460.1,58978,78457,35202.7,33.9,80.1,112.4,61.9,136.9,43.3,105.3,31.6,22581.5,18442,178152,234994,95803.5,72546,79092,36742.6,3.1,0.2,-0.2,1.5,3.2,2.6,3.6,1.4,4,0.4,0.1,-0.1,-1,-0.3,1.5,1.2,34.4,18.2,-22.8,75.8,11.7,41.6,-46.2,54.2,0.6,-0.2,3.5,5.6,4.5,6.6,3.7,4.2,0.5,0.6,2.4,2.4,0.9,2.6,3.4,2.4,-7.2,-8.1,3.7,-1.3,-12.2,3.3,5,-6.7,0.5,-0.9,1,1,2.7,0.5,4.8,0.2,6,8.3,7.3,3.4,6.7,3.7,11.6,8.4
"79",2024-07-01,15.1,3,0.7,4.9,1.5,8.9,3.7,6,2738452,193770,1971882,3035551,752986,5644959,909376,7433597,363259.5,33964,365708.9,581011,204137.5,121761,190579,776762,3241.41,2799.8,30731.2,46105,26724,10325,22257.6,5575.2,320214.7,36140,395690.6,578026,320771,123561,221298,716940,1.2,0.6,0.4,0.1,0,0.8,0.8,0.6,21047,15004,156706.8,229021,112356.8,51464,75002,31136.6,33.6,81.5,113.8,62.4,136.3,42.2,104.3,31.6,21948.4,17397,175059.8,237125,91788.9,71229,72500,36254.6,3.1,-0.7,1.6,0.7,0.7,3.7,2.8,0.7,2.8,1.3,1.2,0.1,-1.4,0.8,1.3,1.8,56.4,21,-25.1,76.9,12.7,55,-48.4,52.3,1.1,-1.1,2,5.2,4.8,5.4,3.6,2.5,1,0.5,2.7,2.6,1.6,3.5,2.9,1.7,3.4,-8.6,8.2,-1.9,-4,0,2.6,-5.8,0.6,-0.8,0.5,1.7,0.8,0.6,3,0.7,6,8.6,7.4,3.5,6.4,3.6,11.5,8.6
"80",2024-10-01,14.2,1.9,1.9,4.6,1.7,13.3,2,6.5,2853810,192946,2022660,3083308,768050,5672479,926386,7741883,387367.8,32372,392329,642424,245859.6,137757,204717,762749,3249.19,2701.2,30549.5,46261,26520.8,10397,22126.7,5415.5,352846.1,36636,412093.9,583276,317030.6,122913,229237,746547,1.8,0,-0.1,-0.2,0.1,0.4,0.8,0.8,25742,15671,174241,229568,126346.9,58121,84121,39453.7,NA,NA,NA,NA,NA,NA,NA,NA,23974.6,18920,184020,258260,119738.9,77253,85910,39483.5,0.2,0,-1,0.3,0.7,2.1,1.8,-0.3,2.9,1.7,0.5,-0.4,0,1,1,2.5,78.3,25.5,-20.3,81.3,15.3,59.6,-44,66,1.5,-0.2,2.1,4.8,3.7,5.7,3.6,1.2,1.6,1.5,1.6,2.4,1,3.3,1.8,1.6,3.1,-4.1,-1.9,-5.4,-9,-2.7,-4,-7.6,3.6,-0.3,0.7,2.6,2.4,1.5,1.7,1.6,5.9,8.9,7.4,3.4,6,3.7,10.9,8.4
"81",1995-01-01,NA,2.6,NA,-1.1,1.3,NA,-3.2,3.7,NA,NA,NA,NA,NA,NA,22135,NA,NA,10896,NA,234345,85630.7,NA,52135,195029,NA,1991.7,NA,37757,21442.7,NA,13711.6,4053.2,NA,12073,NA,252796,139935.3,NA,69634,217604,NA,-0.8,NA,-0.4,NA,NA,NA,1.4,NA,4266,NA,104699.3,42237.9,NA,24270.9,8764.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5240.1,NA,89261.9,35113.4,NA,18733.8,12617.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,NA,1.9,NA,NA,NA,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,0.8,NA,NA,NA,-1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",1995-04-01,NA,3.7,NA,-1.1,2.7,NA,-1.5,3.8,NA,NA,NA,NA,NA,NA,22741,NA,NA,11869,NA,245510,94684,NA,55383,214652,NA,2092.5,NA,37900,21579.1,NA,13906.4,4211.9,NA,12749,NA,259812,142774,NA,68650,231505,NA,2.7,NA,0.8,0.3,NA,0.7,0.6,NA,4811.5,NA,121541.2,43991.2,NA,26470.3,9488.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,5557,NA,93121.3,36532.4,NA,21568.5,12754.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,NA,1.1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.2,NA,2.9,NA,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",1995-07-01,NA,3.5,NA,-2.1,2.8,NA,-1.1,2.9,NA,NA,NA,NA,NA,NA,23581,NA,NA,12326,NA,254772,87265.8,NA,54279,209209,NA,2116.1,NA,38165,21921.4,NA,13926.1,4259.2,NA,12374,NA,264832,147023.2,NA,69046,223425,NA,-0.4,NA,0.2,-0.2,NA,0.4,0.3,NA,4988.1,NA,119336.9,42064,NA,25147.3,9184.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5827.9,NA,96155.9,35306.3,NA,19231.4,12534.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,0.9,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,NA,3.1,NA,NA,NA,-0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",1995-10-01,NA,5.9,NA,0.2,1.7,NA,0.9,2.3,NA,NA,NA,NA,NA,NA,24559,489000,NA,12266,NA,289858,112884.7,NA,57994,217695,NA,2034.5,NA,38361,21738.9,NA,13888.3,4185.5,NA,13019,NA,277571,147575.2,NA,73447,243050,NA,0.1,NA,0,0.9,NA,0.8,1,NA,5749.4,NA,119901.8,50518.3,NA,27022.1,12628.8,NA,NA,NA,NA,NA,NA,61.6,NA,NA,5863.3,NA,110942.4,50516.2,NA,23083.5,14172.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,0.5,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA,-20.5,-32.9,NA,2.5,NA,2.7,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",1996-01-01,NA,1.6,NA,-0.6,2,NA,-2.9,4.7,NA,NA,NA,NA,NA,NA,26542,NA,NA,11862,NA,239598,90867.4,NA,54332,209719,NA,2012.9,NA,37779,21543.2,NA,13808.7,4058.9,NA,12254,NA,261059,149589.8,NA,73108,224811,NA,1.8,NA,-0.7,0.5,NA,0.6,0.8,NA,4682.2,NA,97477.5,46510.9,NA,26965,10201,NA,NA,NA,NA,NA,NA,62.7,67.5,NA,5513,NA,92951.6,38453.6,NA,20511.9,13973.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,NA,0,NA,NA,1.7,2.5,NA,NA,NA,NA,NA,NA,-21.3,NA,NA,4.6,NA,2.4,5.2,NA,1.8,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",1996-04-01,NA,4.3,NA,-1.1,3,NA,-1.3,3.4,NA,NA,NA,NA,NA,NA,26585,NA,NA,12265,NA,247593,100890.3,NA,58150,228999,NA,2118.1,NA,37989,21721.8,NA,13990.6,4177,NA,13153,NA,265256,151170.1,NA,72177,236590,NA,0.8,NA,1.4,0.2,NA,0.7,-0.9,NA,5052.4,NA,118689.9,53682,NA,27576.8,11560.4,NA,NA,NA,NA,NA,NA,62.5,65.3,NA,5641.8,NA,93612,44318.7,NA,23276.2,15136.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,0.6,NA,NA,1.5,2,NA,NA,NA,NA,NA,NA,-22.5,NA,NA,1.4,NA,0.2,4.8,NA,2.4,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",1996-07-01,NA,4.1,NA,-1.5,4.2,NA,0.3,2.8,NA,NA,NA,NA,NA,NA,28056,NA,NA,12635,NA,256676,94857.5,NA,57690,224090,NA,2152.1,NA,38199,22106.8,NA,14181.1,4215.3,NA,13124,NA,270457,153184.2,NA,73072,231969,NA,0.5,NA,0.3,0.2,NA,0.8,0.7,NA,5488.4,NA,119282.5,48580.6,NA,26524.2,10796.2,NA,NA,NA,NA,NA,NA,62.9,66,NA,5967.8,NA,96845.8,41841.8,NA,20348.4,14734.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,1.5,NA,NA,1.3,3.1,NA,NA,NA,NA,NA,NA,-21.9,NA,NA,-0.6,NA,-0.7,7,NA,2.6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",1996-10-01,NA,4.9,NA,1.2,2.2,NA,0.8,2.3,NA,NA,NA,NA,NA,NA,30741,506000,NA,12593,NA,290121,119533.2,NA,62223,224073,NA,2090.9,NA,38281,21839.8,NA,14253.2,4122,NA,14084,NA,283093,153427,NA,77346,251565,NA,2,NA,0.9,-0.3,NA,0.5,0.9,NA,6135.3,NA,117340.8,55133.6,NA,28732.3,13539.5,NA,NA,NA,NA,NA,NA,65.4,69.3,NA,5953.4,NA,109212.5,58912.2,NA,24099.2,15501.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,1.8,NA,NA,0.2,2.6,NA,NA,NA,NA,NA,NA,-23.1,-36.7,NA,-3,NA,-1.3,5.4,NA,3.9,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",1997-01-01,NA,2,NA,-1.6,2.1,NA,-3.3,4.2,NA,NA,NA,NA,NA,NA,34700,NA,NA,12312,NA,241067,95482.4,NA,58717,218721,NA,2075.7,NA,37662,21632.8,NA,14302.1,3978.4,NA,12828,NA,264513,155084.8,NA,77558,232774,NA,1.2,NA,-0.5,0.3,NA,1,0.6,NA,5161.3,NA,95424.5,49578.8,NA,27203.1,10053.7,NA,NA,NA,NA,NA,NA,64.5,66.1,NA,5765,NA,91963.7,42464,NA,20427.3,14304.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.7,NA,0.9,-0.9,NA,-1,0.9,NA,NA,NA,NA,NA,NA,-24.3,NA,NA,0.8,NA,0.2,5.5,NA,3.6,5.4,NA,0.9,NA,1.9,2.7,NA,2.8,1.4,NA,3.8,NA,5.4,1.7,NA,4.6,6.2,NA,1,NA,1.6,1.9,NA,1.3,0.6,NA,13.5,NA,9.5,11.2,NA,18.8,10
"90",1997-04-01,NA,4.4,NA,-0.5,2.6,NA,-0.4,3.8,NA,NA,NA,NA,NA,NA,37400,NA,NA,12828,NA,249412,106542.4,NA,62902,238189,NA,2206.5,NA,37904,21802.6,NA,14533.3,4107,NA,14137,NA,271583,159593.1,NA,75011,251262,NA,1.6,NA,1.1,1.6,NA,0.9,1.5,NA,5784.5,NA,116351.9,55413.8,NA,29053,12067.7,NA,NA,NA,NA,NA,NA,65.1,66.8,NA,5904.7,NA,92666.3,47219.3,NA,23395.4,14738.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,NA,3.2,1.7,NA,-0.6,6.7,NA,NA,NA,NA,NA,NA,-27.4,NA,NA,-1.5,NA,-1.9,3.4,NA,3.2,-0.8,NA,0.9,NA,1.2,1.9,NA,1.6,1.2,NA,1.5,NA,2.1,0.5,NA,1.4,3.4,NA,-0.4,NA,-0.1,0.1,NA,-1.2,-1,NA,13.2,NA,9.7,11.4,NA,18.6,10.2
"91",1997-07-01,NA,6.5,NA,-1.1,3.5,NA,0.5,4.3,NA,NA,NA,NA,NA,NA,41718,NA,NA,13589,NA,256813,99494.7,NA,62483,235256,NA,2208.1,NA,38239,22149.9,NA,14694.9,4178.8,NA,13749,NA,276369,162838.5,NA,75856,240909,NA,2.4,NA,0.4,0.5,NA,1.1,0.7,NA,6053.3,NA,114542.4,50934.2,NA,27771.1,10591,NA,NA,NA,NA,NA,NA,65,65.1,NA,6109.8,NA,93009.9,44841,NA,20484.7,15091.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,NA,1.9,1.9,NA,0,4.8,NA,NA,NA,NA,NA,NA,-28.5,NA,NA,-0.3,NA,-1.8,2.6,NA,2.8,1.1,NA,1.1,NA,1.6,1.7,NA,1.5,1.5,NA,1.4,NA,3,3.6,NA,1.7,6.3,NA,-0.3,NA,0.8,-1.3,NA,-2,-0.7,NA,12.5,NA,9.7,11,NA,18.6,10.1
"92",1997-10-01,NA,7.1,NA,1.7,2.2,NA,0.3,3.2,NA,NA,NA,NA,NA,NA,45958,784771,NA,13288,NA,291298,124145.8,NA,67606,234350,NA,2168.1,NA,38373,21932,NA,14805.7,4095.6,NA,14789,NA,289589,163661.6,NA,84137,263709,NA,3,NA,0.7,1.5,NA,1.4,1.6,NA,6917.5,NA,115715.2,59930.8,NA,31208.5,13936.4,NA,NA,NA,NA,NA,NA,64.3,66.9,NA,6096.3,NA,105266.7,60354.2,NA,23920.2,15712,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,1.6,3.5,NA,0.8,5.2,NA,NA,NA,NA,NA,NA,-27.6,-38,NA,-3.8,NA,-1.3,0,NA,2.1,0.2,NA,1.7,NA,1.5,1.9,NA,1.8,2.7,NA,0.5,NA,1.5,2.4,NA,1.5,3.4,NA,1.7,NA,1.9,-0.7,NA,-1,1.4,NA,12.1,NA,9.7,11.3,NA,18,9.4
